condition,config_id,execution_id,delta_version,rows,reported_total_rows,expected_rows,semantic_sha256,missing_expected_ids,unexpected_ids,exact_oracle_agreement,query_time_seconds
G2_DERM_CANCER_HISTO,5,16,0,2689,2689,2689,aee536ebeba3a96f7e1eef6092bc438c067e10a02768755a59e8498db7f5afbe,0,0,True,3.003
G2_DERM_CANCER_HISTO,5,19,1,2689,2689,2689,aee536ebeba3a96f7e1eef6092bc438c067e10a02768755a59e8498db7f5afbe,0,0,True,2.726
G2_DERM_CANCER_HISTO,5,20,2,2689,2689,2689,aee536ebeba3a96f7e1eef6092bc438c067e10a02768755a59e8498db7f5afbe,0,0,True,1.126
G3_CLINICAL_CANCER_PHOTOTYPE,6,17,0,1299,1299,1299,68fbc1cea596aa0d416b83ac56456814a94fb6be54266bfc88ca4d2232e866ab,0,0,True,2.601
G3_CLINICAL_CANCER_PHOTOTYPE,6,21,1,1299,1299,1299,68fbc1cea596aa0d416b83ac56456814a94fb6be54266bfc88ca4d2232e866ab,0,0,True,2.42
G3_CLINICAL_CANCER_PHOTOTYPE,6,22,2,1299,1299,1299,68fbc1cea596aa0d416b83ac56456814a94fb6be54266bfc88ca4d2232e866ab,0,0,True,1.226
G4_CC_BY_POLICY,7,18,0,3914,3914,3914,2d1730a56c9a9ee10bfa83ce9b8c09b77fe40cbcd76d40b2f82867124f7ced05,0,0,True,3.057
G4_CC_BY_POLICY,7,23,1,3914,3914,3914,2d1730a56c9a9ee10bfa83ce9b8c09b77fe40cbcd76d40b2f82867124f7ced05,0,0,True,3.042
G4_CC_BY_POLICY,7,24,2,3914,3914,3914,2d1730a56c9a9ee10bfa83ce9b8c09b77fe40cbcd76d40b2f82867124f7ced05,0,0,True,1.275
